src,dst,predictions
0,16,0.932918847
4,13,0.014808528
2,9,8.01E-15
14,3,8.01E-15
18,5,0
5,17,0
14,19,0
19,4,0
15,9,0
5,2,0
19,15,0
0,2,0
16,15,0.795530915
10,0,0.98704493
6,0,1
15,6,0
8,15,0
15,10,0
7,9,0
10,18,0
19,14,0
13,4,0.326148689
16,3,0.002636985
16,19,0.002636985
6,15,0.255938561
2,7,0.255938561
2,19,4.77E-07
0,2,4.77E-07
4,8,0.002862098
13,3,0.002862098
10,11,0
1,10,0
14,4,6.86E-32
5,18,6.86E-32
1,19,0
0,4,0
12,8,0
6,15,0
17,8,0.938604593
1,12,0
9,12,0
12,15,0.955539823
6,15,6.20E-16
10,11,6.20E-16
19,11,0.058288879
14,5,0.049620903
1,6,0.199554968
8,1,0.199554968
2,7,0.153612491
11,4,0.153612491
0,19,0.00112125
13,9,0.173777953
9,17,0.173777953
8,12,0.234744046
6,10,0.234744046
13,10,8.54E-28
6,2,8.54E-28
10,7,1.35E-26
13,11,1.35E-26
4,7,0
16,5,0
4,17,0
15,9,0
9,8,0.326889829
8,0,0.326889829
10,18,0.083402847
11,16,0.223342099
19,3,0.223342099
1,18,0.081641934
14,8,1.04E-09
11,2,1.04E-09
14,1,0.221486931
14,13,0.221486931
6,15,0.001947516
7,3,0
8,2,0
1,7,0.366888475
19,13,0.366888475
11,10,0.934048951
6,12,0.279606262
4,11,0.279606262
4,1,3.33E-14
15,16,3.33E-14
3,17,0
18,0,0
2,6,0
14,17,0
17,8,0
1,0,0
13,3,0.002002155
18,8,0
9,10,0
19,4,2.20E-18
15,5,2.20E-18
2,7,0.010100356
9,12,0
10,15,0
6,9,1
4,19,0
0,13,0
9,2,0
19,2,0
10,18,0
19,1,0
19,1,0
0,5,0
1,15,1.57E-23
18,0,1.57E-23
8,11,2.08E-17
3,7,2.08E-17
5,11,0
8,4,0
1,9,1.62E-14
7,3,1.62E-14
12,6,0.001391976
17,15,0
1,16,0
10,16,0.001387486
17,6,0.002536586
9,8,0.164224592
19,12,0.164224592
9,19,0.93614012
0,13,3.10E-31
10,9,3.10E-31
6,2,0
15,18,0
6,10,0.315492565
13,17,0.315492565
9,7,0
12,11,0
0,6,1.07E-22
18,1,1.07E-22
5,0,0.387553184
12,2,0.387553184
14,1,0.105639709
16,8,0.105639709
17,3,0.791331053
18,10,7.32E-08
19,9,7.32E-08
8,12,0.221885537
2,1,0.221885537
6,5,0
4,15,0
1,15,0
15,12,0
18,19,0.001291777
0,9,9.05E-05
14,9,9.05E-05
0,8,0.001402613
6,2,0
16,4,0
3,15,0.980704963
8,3,3.74E-15
2,14,3.74E-15
0,16,0
11,9,0
10,5,0.112949354
5,2,0.112949354
7,3,0.1035526
2,16,0.1035526
5,9,0.997163415
8,9,0.468016136
1,12,0.468016136
1,2,0.438183866
18,16,0.438183866
9,18,0
9,4,0
5,18,0
4,3,0
19,4,0.41131035
14,19,0.41131035
14,7,0.695037305
1,18,0.357749115
14,13,0.357749115
1,6,0.066792272
13,3,0
16,3,0
2,3,0.989169121
2,16,0.106919069
8,7,0.106919069
18,14,0
4,15,0
17,13,0.175315596
9,10,0.175315596
18,15,0.356665201
7,15,0.356665201
1,14,1.39E-12
9,3,1.39E-12
6,1,0
13,16,0
9,18,1.07E-06
5,16,1.07E-06
0,9,0
19,0,0
11,9,0.035501125
9,13,0.074631913
14,13,1.07E-21
19,9,1.07E-21
0,11,0
13,0,0
3,13,0
8,10,0
19,10,0.300669111
14,6,0.300669111
6,14,0
12,18,0
19,8,0.001373679
7,16,0
10,12,0
12,13,0.990928769
19,12,0.370827154
1,5,0.370827154
12,16,0
17,1,0
6,6,0.302171742
18,19,0.302171742
7,17,0.083234976
13,5,0.284169888
17,12,0.284169888
8,16,0.010968217
15,5,0.169669292
2,15,0.169669292
6,10,6.38E-32
18,0,6.38E-32
12,11,0
9,2,0
0,3,0.048977621
2,16,0.057055331
18,14,0.106259024
17,15,0.106259024
12,6,0.053136049
6,10,0.004958699
13,14,0
4,5,0
3,7,0
12,7,0
18,3,0
19,9,0
12,13,0.090952596
8,18,0
7,14,0
14,15,4.92E-19
9,19,4.92E-19
10,3,0.061382569
0,16,1.92E-19
15,2,1.92E-19
3,2,0.241116679
9,13,0.241116679
16,14,0.441570592
10,8,0.441570592
8,19,0
13,9,0
11,8,0
3,0,0
12,7,0
6,13,0
7,15,0
4,18,0
18,14,0.067548937
17,1,0
4,13,0
7,4,0
13,7,0
14,8,0.757433534
17,11,0.03187895
17,10,0.371124595
14,10,0.371124595
7,11,2.63E-18
7,16,2.63E-18
18,4,6.79E-18
2,5,6.79E-18
2,3,8.52E-11
11,12,8.52E-11
18,6,0.069344649
13,3,0
9,7,0
10,18,0.149824118
18,15,0.149824118
3,12,0
0,14,0
18,3,0.009061911
10,8,0.044651326
1,16,1.64E-17
8,14,1.64E-17
11,17,0.157836548
4,12,0.157836548
13,16,0
1,7,0
17,18,0
3,7,0
1,13,0.004701506
18,0,0
12,18,0
8,16,0
17,1,0
13,8,0
12,1,0
7,1,0.46375065
15,17,0.46375065
6,10,0.05676721
2,6,0
12,2,0
11,8,0.034882756
5,0,0
13,9,0
0,5,1.39E-27
9,4,1.39E-27
15,18,0
13,6,0
6,7,0.126351151
19,15,0.126351151
12,8,0.157499046
11,10,0.157499046
16,18,0
0,13,0
11,7,0.007930247
2,5,0
3,0,0
10,7,1.24E-25
6,9,1.24E-25
18,19,0.031174011
19,1,0
1,16,0
0,19,0
7,2,0
17,13,0.073729083
4,19,0.294396392
3,15,0.294396392
10,14,0
7,11,0
16,19,0.075133721
11,3,0
3,12,0
13,3,0.018571113
14,15,0.018571113
1,17,0
8,4,0
16,4,0.225563606
3,14,0.225563606
6,17,0.066846597
15,13,0.988531351
7,11,0
3,7,0
12,5,0.231226042
14,5,0
3,13,0
2,17,4.44E-14
13,3,4.44E-14
2,9,0
1,4,0
1,15,0
11,10,0
7,9,0.027324146
0,0,0
2,4,0
11,8,0.927646279
7,10,0.271671102
14,11,0.271671102
8,2,0
4,12,0
4,2,2.02E-13
5,16,2.02E-13
9,13,0.19486052
18,14,0.19486052
0,10,0.051234436
12,14,0
15,4,0
11,4,0.315742916
10,4,0.315742916
6,5,0
13,12,0
16,6,0
19,7,0
10,2,0
4,17,0
12,7,0
1,19,0
8,2,0.911259949
10,6,0
8,17,0
14,17,0.008936388
12,2,0.008936388
15,0,0.064366631
17,11,0.000348779
18,3,0.000348779
8,2,0.001165823
9,6,0.98924315
3,4,0.346760673
17,7,0.346760673
16,6,0.004260562
19,11,0
6,12,0
4,14,0.018931034
13,7,0.006637791
13,7,0.218476067
16,1,0.218476067
12,14,0.027977032
9,13,0.027977032
1,6,0.053800428
17,8,0.30341596
12,5,0.30341596
13,1,0
15,1,0
11,15,0.438543851
9,16,0.438543851
12,13,2.92E-17
3,8,2.92E-17
14,8,0
3,0,0
19,10,0.035798326
6,12,0
15,7,0
12,9,0
16,13,0
1,7,0.261927227
3,7,0.261927227
19,17,0
14,6,0
18,6,0.057414395
6,3,0
11,2,0
5,1,0
1,14,0
6,18,0
7,3,0
16,6,0
14,11,0
2,6,0.144621692
17,6,0.144621692
17,8,0.250385288
16,2,0.250385288
4,15,0.081528617
7,14,0
5,10,0
2,3,0
6,14,0
17,19,2.26E-21
14,3,2.26E-21
5,0,0.997215986
19,4,0
15,5,0
14,5,0.07329481
3,9,0
11,0,0
0,8,0
18,4,0
8,11,0.085276167
14,10,0.13779437
17,11,0.13779437
19,10,0.090822048
11,12,0.179564595
8,19,0.179564595
11,13,0.170646294
17,12,0.170646294
