tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0T,D1_RF,T5_TFLDT,0.2,0.89,0.034502,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.2,0.96,0.015483,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.2,0.16,0.03741,0.32,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.2,0.156667,0.039073,0.2,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.2,0.958333,0.01566,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.2,0.961667,0.020161,0.0,0.0,7,1.0,O(k),2.1638,,0.8,0.2518
V1,D1_RF,T2_SL,0.2,0.961667,0.020161,0.0,0.0,20,2.86,O(k),2.1638,,0.8,0.2518
V1,D1_RF,T3_Beta,0.2,0.961667,0.020161,0.0,0.0,20,2.86,O(k),2.1638,,0.8,0.2518
V1,D1_RF,T5_TFLDT,0.2,0.943333,0.021388,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.8,0.2518
V1,D1_RF,T_max,0.2,0.873333,0.031188,0.0,0.0,6,0.86,O(k),2.1638,,0.8,0.2518
V1,D1_RF,T_median,0.2,0.926667,0.026396,0.0,0.0,16,2.29,O(k log k),2.1638,,0.8,0.2518
V1,D1_RF,T4_EigenTrust,0.2,0.211667,0.047995,0.03,0.0,11400,1628.57,O(iters * E),2.1638,,0.8,0.2518
V1,D1_RF,T_meanvar_z,0.2,0.953333,0.019189,0.0,0.0,18,2.57,O(k),2.1638,,0.8,0.2518
V1T,D1_RF,T1_mean,0.2,0.996667,0.004596,0.0,0.0,7,1.0,O(k),2.1638,,0.8,0.417
V1T,D1_RF,T2_SL,0.2,0.996667,0.004596,0.0,0.0,20,2.86,O(k),2.1638,,0.8,0.417
V1T,D1_RF,T3_Beta,0.2,0.996667,0.004596,0.0,0.0,20,2.86,O(k),2.1638,,0.8,0.417
V1T,D1_RF,T5_TFLDT,0.2,0.993333,0.007934,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.8,0.417
