defense,scheme,profile,N,sigma,phi,p,inclique,clique_forced,n_seeds,AUC,tpr_at_fpr01,gap,stealth,worst_vis
D3_RHMD,T1_mean,AP1,20,0.15,,,,False,100,,1.0,0.6483593512941327,0.0,0.7832802462262215
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,,False,100,,0.8666666666666666,0.2022781266290955,0.9433333333333332,0.31210350011951626
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.8133333333333332,0.17864425101346512,0.9866666666666667,0.2954421809939619
D3_RHMD,T1_mean,AP6c_active,20,0.15,,,0.0,True,100,,0.8366666666666667,0.1991836942234937,0.9333333333333335,0.26960577454487406
D3_RHMD,T_max,AP1,20,0.15,,,,False,100,,0.9983333333333334,0.6020679300124231,0.0,0.9234086712117745
D3_RHMD,T_max,AP4_phi030,20,0.15,0.3,,,False,100,,0.9883333333333334,0.5241442447818275,0.01,0.7296720433575179
D3_RHMD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.5476666666666667,0.17877859505733962,0.4123333333333333,0.4149818958680902
D3_RHMD,T_max,AP6c_active,20,0.15,,,0.0,True,100,,0.9883333333333334,0.5790366193691714,0.011666666666666665,0.8251602580136094
D3_RHMD,T_meanvar_z,AP1,20,0.15,,,,False,100,,1.0,9.823957702392066,0.0,7.626321360889824
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,False,100,,0.98,6.8824823568931155,0.006666666666666666,3.9687242938185556
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.7816666666666667,2.5499486204093675,0.016666666666666666,1.4771201798696219
D3_RHMD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,True,100,,0.9883333333333334,13.499929489693649,0.009999999999999998,8.666549806078729
D3_RHMD,T4_EigenTrust,AP1,20,0.15,,,,False,100,,0.7283333333333332,0.042095312737180125,1.0,-0.033989615976675804
D3_RHMD,T4_EigenTrust,AP4_phi030,20,0.15,0.3,,,False,100,,0.16833333333333336,0.01179784098986225,1.0,-0.06317542929122993
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.15166666666666667,0.00920895862264681,1.0,-0.06413600405527861
D3_RHMD,T4_EigenTrust,AP6c_active,20,0.15,,,0.0,True,100,,0.19166666666666665,0.01895117025462288,1.0,-0.04729002103719121
D3_RHMD,T5_TFLDT,AP1,20,0.15,,,,False,100,,1.0,0.4442176494270966,0.0016666666666666666,0.6465244364016443
D3_RHMD,T5_TFLDT,AP4_phi030,20,0.15,0.3,,,False,100,,0.835,0.13854226758638508,0.9983333333333334,0.29494493724792054
D3_RHMD,T5_TFLDT,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.775,0.12211850568908479,1.0,0.2814973526800079
D3_RHMD,T5_TFLDT,AP6c_active,20,0.15,,,0.0,True,100,,0.8716666666666668,0.154285121251515,1.0,0.29870770900573596
D4_MTD,T1_mean,AP1,20,0.15,,,,False,100,,1.0,0.8306071054542504,0.0,0.857844090558783
D4_MTD,T1_mean,AP4_phi030,20,0.15,0.3,,,False,100,,0.9883333333333334,0.2609932911405018,0.975,0.2598115069887231
D4_MTD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,1.0,0.8308647491801797,0.0,0.8517096204815003
D4_MTD,T1_mean,AP6c_active,20,0.15,,,0.0,True,100,,0.9716666666666667,0.3461241154096705,0.755,0.2885893832388924
D4_MTD,T_max,AP1,20,0.15,,,,False,100,,1.0,0.7686737143265513,0.0,0.9799575363988765
D4_MTD,T_max,AP4_phi030,20,0.15,0.3,,,False,100,,0.9916666666666667,0.7229386944874264,0.008333333333333333,0.8086308549672145
D4_MTD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,1.0,0.7654742273509428,0.0,0.9623019660759162
D4_MTD,T_max,AP6c_active,20,0.15,,,0.0,True,100,,0.99,0.7555187819618493,0.009999999999999998,0.898880982094324
D4_MTD,T_meanvar_z,AP1,20,0.15,,,,False,100,,1.0,12.906431252844316,0.0,10.246279272691186
D4_MTD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,False,100,,0.9916666666666667,10.757946160447913,0.006666666666666666,7.2483982600096875
D4_MTD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,1.0,12.924799289477214,0.0,10.096531532381011
D4_MTD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,True,100,,0.9883333333333334,15.503434033566359,0.009999999999999998,10.66506454569356
D4_MTD,T4_EigenTrust,AP1,20,0.15,,,,False,100,,0.8583333333333334,0.04999085643354548,1.0,-0.025749051961034563
D4_MTD,T4_EigenTrust,AP4_phi030,20,0.15,0.3,,,False,100,,0.19333333333333336,0.013451442276494125,1.0,-0.06172422459498184
