experiment,defense,scheme,profile,regime,sigma,forced_clique,n_seeds,tpr_mean,tpr_ci95,auc_mean,auc_ci95,gap_mean,gap_ci95
dual_sigma,D5_Stochastic,T1_mean,AP5_p10,stress,0.15,False,100,0.96,0.018054,0.992143,0.004501,0.251936,0.00574
dual_sigma,D5_Stochastic,T1_mean,AP6c_active,measured,0.009519,True,100,0.22,0.034396,0.22,0.034396,-0.079099,0.008228
dual_sigma,D5_Stochastic,T1_mean,AP6c_active,stress,0.15,True,100,0.026667,0.012901,0.313636,0.025295,-0.060792,0.007766
dual_sigma,D5_Stochastic,T_meanvar_z,AP6c_active_Tmvz,measured,0.009519,True,100,0.99,0.007797,0.990476,0.007445,4887.516965,71.935838
dual_sigma,D5_Stochastic,T_meanvar_z,AP6c_active_Tmvz,stress,0.15,True,100,0.988333,0.008377,0.990238,0.007448,14.533761,0.310668
dual_sigma,D6_DRL,T1_mean,AP1,measured,0.005572,False,100,1.0,0.0,1.0,0.0,0.853106,0.000244
dual_sigma,D6_DRL,T1_mean,AP1,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.789188,0.004728
dual_sigma,D6_DRL,T1_mean,AP4_phi030,measured,0.005572,False,100,0.993333,0.006434,0.994167,0.005711,0.270845,0.004676
dual_sigma,D6_DRL,T1_mean,AP4_phi030,stress,0.15,False,100,0.973333,0.014476,0.991667,0.006129,0.247543,0.006731
dual_sigma,D6_DRL,T1_mean,AP5_p10,measured,0.005572,False,100,1.0,0.0,1.0,0.0,0.48879,0.000219
dual_sigma,D6_DRL,T1_mean,AP5_p10,stress,0.15,False,100,0.998333,0.003267,0.999881,0.000233,0.458749,0.005721
dual_sigma,D6_DRL,T1_mean,AP6c_active,measured,0.005572,True,100,0.99,0.007797,0.99,0.007797,0.31983,0.008493
dual_sigma,D6_DRL,T1_mean,AP6c_active,stress,0.15,True,100,0.958333,0.014955,0.98641,0.007281,0.311039,0.007941
dual_sigma,D6_DRL,T_meanvar_z,AP6c_active_Tmvz,measured,0.005572,True,100,0.99,0.007797,0.990476,0.007445,15134.54632,222.29919
dual_sigma,D6_DRL,T_meanvar_z,AP6c_active_Tmvz,stress,0.15,True,100,0.988333,0.008377,0.99119,0.006834,15.299246,0.304146
