defense,q_attack_frac,forge_target,attack_yield,tpr_mean,tpr_ci95,z_mu_mean,z_var_mean,binding_channel,effective_evasion
D6_DRL,0.8,0.2,0.8,1.0,0.0,10.7749,5.5607,mean,False
D6_DRL,0.8,0.3,0.8,1.0,0.0,11.0675,4.0274,mean,False
D6_DRL,0.9,0.0,0.9,1.0,0.0,11.3788,5.0558,mean,False
D6_DRL,0.9,0.05,0.9,1.0,0.0,11.4293,4.7111,mean,False
D6_DRL,0.9,0.1,0.9,1.0,0.0,11.4945,4.2757,mean,False
D6_DRL,0.9,0.15,0.9,1.0,0.0,11.5671,3.8119,mean,False
D6_DRL,0.9,0.2,0.9,1.0,0.0,11.6469,3.3242,mean,False
D6_DRL,0.9,0.3,0.9,1.0,0.0,11.8187,2.3582,mean,False
D6_DRL,1.0,0.0,1.0,1.0,0.0,12.935,-0.7835,mean,False
D6_DRL,1.0,0.05,1.0,1.0,0.0,12.935,-0.7835,mean,False
D6_DRL,1.0,0.1,1.0,1.0,0.0,12.935,-0.7835,mean,False
D6_DRL,1.0,0.15,1.0,1.0,0.0,12.935,-0.7835,mean,False
D6_DRL,1.0,0.2,1.0,1.0,0.0,12.935,-0.7835,mean,False
D6_DRL,1.0,0.3,1.0,1.0,0.0,12.935,-0.7835,mean,False
