scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T3_Beta,D4_MTD,0.7,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.8,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T5_TFLDT,D4_MTD,0.2,0.716667,0.053445,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.3,0.955,0.021203,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.4,0.983333,0.010889,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.5,0.99,0.007797,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.6,0.998333,0.003267,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.7,1.0,0.0,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T5_TFLDT,D4_MTD,0.8,1.0,0.0,,forge=0.00,0.0991,0.0352,0.1957,2.746,0.01,20,2.86,O(k + deg)
T_max,D4_MTD,0.2,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.3,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.4,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.5,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.6,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.7,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_max,D4_MTD,0.8,0.073333,0.022897,,cap=0.07,0.2456,0.1047,0.4943,2.376,0.01,6,0.86,O(k)
T_median,D4_MTD,0.2,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.3,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.4,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.5,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.6,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.7,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T_median,D4_MTD,0.8,0.118667,0.031957,0.427667,attack_frac=0.20,0.0778,0.064,0.2529,2.738,0.01,16,2.29,O(k log k)
T4_EigenTrust,D4_MTD,0.2,0.141667,0.038111,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.3,0.193333,0.043979,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.4,0.255,0.052005,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.5,0.33,0.054341,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.6,0.385,0.056617,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.7,0.541667,0.058061,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D4_MTD,0.8,0.623333,0.057921,,forge=0.00,-0.0498,0.0168,-0.0162,1.997,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D4_MTD,0.2,0.933333,0.023215,,"w_m=0.80,m=0.27",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.3,0.971667,0.016121,,"w_m=0.70,m=0.28",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.4,0.976667,0.013945,,"w_m=0.60,m=0.28",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.5,0.983333,0.010889,,"w_m=0.50,m=0.26",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.6,0.986667,0.010044,,"w_m=0.40,m=0.21",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.7,0.993333,0.006434,,"w_m=0.30,m=0.12",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T_meanvar_z,D4_MTD,0.8,0.995,0.005601,,"w_m=0.16,m=0.00",0.5175,0.7285,2.3475,2.512,0.01,18,2.57,O(k)
T1_mean,D5_Stochastic,0.2,0.0,0.0,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.3,0.003333,0.004596,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.4,0.008333,0.007155,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.5,0.1,0.028622,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.6,0.285,0.047189,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.7,0.786333,0.04736,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T1_mean,D5_Stochastic,0.8,0.934667,0.022764,,forge=0.00,0.4789,0.0683,0.6442,2.42,0.01,7,1.0,O(k)
T2_SL,D5_Stochastic,0.2,0.0,0.0,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.3,0.003333,0.004596,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.4,0.008333,0.007155,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.5,0.1,0.028622,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.6,0.285,0.047189,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.7,0.786333,0.04736,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T2_SL,D5_Stochastic,0.8,0.934667,0.022764,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.2,0.0,0.0,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.3,0.003333,0.004596,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.4,0.008333,0.007155,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.5,0.1,0.028622,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.6,0.285,0.047189,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.7,0.786333,0.04736,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T3_Beta,D5_Stochastic,0.8,0.934667,0.022764,,forge=0.00,0.4824,0.0569,0.6201,2.42,0.01,20,2.86,O(k)
T5_TFLDT,D5_Stochastic,0.2,0.0,0.0,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.3,0.001667,0.003267,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.4,0.006667,0.006434,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.5,0.1,0.028242,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.6,0.286667,0.050024,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.7,0.769667,0.050591,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T5_TFLDT,D5_Stochastic,0.8,0.913,0.025259,,forge=0.00,0.4789,0.0488,0.5986,2.456,0.01,20,2.86,O(k + deg)
T_max,D5_Stochastic,0.2,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.3,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.4,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.5,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.6,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.7,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_max,D5_Stochastic,0.8,0.073333,0.022897,,cap=0.48,0.6577,0.1068,0.9073,2.338,0.01,6,0.86,O(k)
T_median,D5_Stochastic,0.2,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.3,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.4,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.5,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.6,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.7,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T_median,D5_Stochastic,0.8,0.122,0.032808,0.411,attack_frac=0.20,0.4799,0.0786,0.6646,2.349,0.01,16,2.29,O(k log k)
T4_EigenTrust,D5_Stochastic,0.2,0.036667,0.01711,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.3,0.058333,0.020437,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.4,0.091667,0.029135,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.5,0.123333,0.032375,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.6,0.155,0.039193,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.7,0.266667,0.050436,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D5_Stochastic,0.8,0.326667,0.051894,,forge=0.00,-0.0498,0.0174,-0.0156,1.961,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D5_Stochastic,0.2,0.486333,0.051553,,"w_m=0.80,m=0.51",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.3,0.659667,0.047516,,"w_m=0.70,m=0.51",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.4,0.768,0.039353,,"w_m=0.60,m=0.49",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.5,0.853333,0.033571,,"w_m=0.50,m=0.47",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.6,0.905,0.027957,,"w_m=0.40,m=0.43",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.7,0.96,0.018642,,"w_m=0.30,m=0.37",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T_meanvar_z,D5_Stochastic,0.8,0.983333,0.009849,,"w_m=0.20,m=0.25",0.5716,0.9288,3.3356,2.976,0.01,18,2.57,O(k)
T1_mean,D6_DRL,0.2,0.587,0.05474,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.3,0.943333,0.02285,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.4,0.988333,0.008377,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.5,0.993333,0.006434,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.6,1.0,0.0,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.7,1.0,0.0,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T1_mean,D6_DRL,0.8,1.0,0.0,,forge=0.00,0.116,0.0525,0.2572,2.687,0.01,7,1.0,O(k)
T2_SL,D6_DRL,0.2,0.587,0.05474,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.3,0.943333,0.02285,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.4,0.988333,0.008377,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.5,0.993333,0.006434,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.6,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.7,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T2_SL,D6_DRL,0.8,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.2,0.587,0.05474,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.3,0.943333,0.02285,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.4,0.988333,0.008377,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.5,0.993333,0.006434,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.6,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.7,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T3_Beta,D6_DRL,0.8,1.0,0.0,,forge=0.00,0.18,0.0438,0.2977,2.687,0.01,20,2.86,O(k)
T5_TFLDT,D6_DRL,0.2,0.587,0.056675,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.3,0.921667,0.028792,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.4,0.978333,0.011978,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.5,0.99,0.007797,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.6,0.998333,0.003267,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.7,1.0,0.0,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T5_TFLDT,D6_DRL,0.8,1.0,0.0,,forge=0.00,0.1161,0.0375,0.217,2.693,0.01,20,2.86,O(k + deg)
T_max,D6_DRL,0.2,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.3,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.4,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.5,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.6,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.7,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_max,D6_DRL,0.8,0.073333,0.022897,,cap=0.09,0.2698,0.1054,0.5187,2.362,0.01,6,0.86,O(k)
T_median,D6_DRL,0.2,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.3,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.4,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.5,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.6,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.7,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T_median,D6_DRL,0.8,0.122,0.032808,0.427667,attack_frac=0.20,0.098,0.0686,0.276,2.595,0.01,16,2.29,O(k log k)
T4_EigenTrust,D6_DRL,0.2,0.136667,0.036964,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.3,0.181667,0.043579,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.4,0.241667,0.050941,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.5,0.316667,0.053647,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.6,0.37,0.055635,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.7,0.515,0.056883,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D6_DRL,0.8,0.603333,0.057577,,forge=0.00,-0.0498,0.0168,-0.0162,1.994,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D6_DRL,0.2,0.91,0.025608,,"w_m=0.80,m=0.27",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.3,0.966667,0.016741,,"w_m=0.70,m=0.29",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.4,0.973333,0.014476,,"w_m=0.60,m=0.28",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.5,0.981667,0.011273,,"w_m=0.50,m=0.26",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.6,0.983333,0.010889,,"w_m=0.40,m=0.21",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.7,0.993333,0.006434,,"w_m=0.30,m=0.12",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
T_meanvar_z,D6_DRL,0.8,0.995,0.005601,,"w_m=0.16,m=0.00",0.4143,0.7764,2.3683,2.517,0.01,18,2.57,O(k)
