scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T_median,D1_RF,0.6,0.110333,0.030906,0.419333,attack_frac=0.20,0.044,0.0515,0.2044,3.114,0.01,16,2.29,O(k log k)
T_median,D1_RF,0.7,0.110333,0.030906,0.419333,attack_frac=0.20,0.044,0.0515,0.2044,3.114,0.01,16,2.29,O(k log k)
T_median,D1_RF,0.8,0.110333,0.030906,0.419333,attack_frac=0.20,0.044,0.0515,0.2044,3.114,0.01,16,2.29,O(k log k)
T4_EigenTrust,D1_RF,0.2,0.158333,0.041105,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.3,0.205,0.044499,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.4,0.273333,0.053247,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.5,0.341667,0.054814,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.6,0.416667,0.058822,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.7,0.57,0.058395,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D1_RF,0.8,0.665,0.05523,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D1_RF,0.2,0.956667,0.01835,,"w_m=0.80,m=0.25",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.3,0.976667,0.013149,,"w_m=0.70,m=0.27",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.4,0.983333,0.010889,,"w_m=0.60,m=0.27",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.5,0.985,0.01048,,"w_m=0.50,m=0.25",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.6,0.988333,0.009577,,"w_m=0.40,m=0.20",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.7,0.993333,0.006434,,"w_m=0.30,m=0.11",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T_meanvar_z,D1_RF,0.8,0.995,0.005601,,"w_m=0.16,m=0.00",0.8073,0.6322,2.4239,2.557,0.01,18,2.57,O(k)
T1_mean,D2_CNN,0.2,0.875,0.031958,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.3,0.991667,0.007155,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.4,0.993333,0.006434,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.5,0.993333,0.006434,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.6,1.0,0.0,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.7,1.0,0.0,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T1_mean,D2_CNN,0.8,1.0,0.0,,forge=0.00,0.0746,0.0437,0.195,2.756,0.01,7,1.0,O(k)
T2_SL,D2_CNN,0.2,0.875,0.031958,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.3,0.991667,0.007155,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.4,0.993333,0.006434,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.5,0.993333,0.006434,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.6,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.7,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T2_SL,D2_CNN,0.8,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.2,0.875,0.031958,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.3,0.991667,0.007155,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.4,0.993333,0.006434,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.5,0.993333,0.006434,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.6,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.7,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T3_Beta,D2_CNN,0.8,1.0,0.0,,forge=0.00,0.1455,0.0364,0.2459,2.756,0.01,20,2.86,O(k)
T5_TFLDT,D2_CNN,0.2,0.86,0.03764,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.3,0.983333,0.011837,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.4,0.993333,0.006434,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.5,0.993333,0.006434,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.6,1.0,0.0,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.7,1.0,0.0,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T5_TFLDT,D2_CNN,0.8,1.0,0.0,,forge=0.00,0.0746,0.0312,0.1635,2.848,0.01,20,2.86,O(k + deg)
T_max,D2_CNN,0.2,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.3,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.4,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.5,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.6,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.7,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_max,D2_CNN,0.8,0.073333,0.022897,,cap=0.03,0.207,0.1029,0.4549,2.408,0.01,6,0.86,O(k)
T_median,D2_CNN,0.2,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
