defense,scheme,profile,N,sigma,phi,p,inclique,clique_forced,n_seeds,AUC,tpr_at_fpr01,gap,stealth,worst_vis
D3_RHMD,T1_mean,AP1,20,0.15,,,,False,100,,1.0,0.646122724524266,0.0,0.781540442225015
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,,False,100,,0.8666666666666666,0.2015672130037261,0.9416666666666665,0.3120739675396393
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.775,0.17122941639125497,0.9866666666666667,0.2888567348746181
D3_RHMD,T1_mean,AP6c_active,20,0.15,,,0.0,True,100,,0.8349999999999999,0.19782443119127144,0.9333333333333335,0.2691536411043043
D3_RHMD,T_max,AP1,20,0.15,,,,False,100,,0.9983333333333334,0.600677692365142,0.0,0.9216839456385932
D3_RHMD,T_max,AP4_phi030,20,0.15,0.3,,,False,100,,0.9883333333333334,0.5220938744770867,0.01,0.7278930505520195
D3_RHMD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.5326666666666667,0.17125932301085683,0.444,0.4082642266737578
D3_RHMD,T_max,AP6c_active,20,0.15,,,0.0,True,100,,0.9883333333333334,0.5774422446900949,0.011666666666666665,0.823421248389501
D3_RHMD,T_meanvar_z,AP1,20,0.15,,,,False,100,,1.0,9.787141778110962,0.0,7.597371890693612
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,False,100,,0.9783333333333333,6.835932316420468,0.006666666666666666,3.9361155247796944
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.7533333333333333,2.4341054665812107,0.02333333333333333,1.3813722805505741
D3_RHMD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,True,100,,0.9866666666666667,13.444511877319885,0.009999999999999998,8.621279864916891
D3_RHMD,T4_EigenTrust,AP1,20,0.15,,,,False,100,,0.7249999999999999,0.04192850026444047,1.0,-0.03414865828407488
