defense,scheme,inclique,atk_mean,ben_mean,tpr,x_cross_theory,s_a,s_b
D5_Stochastic,T1_mean,0.0,0.4262520888015083,0.47717417500403486,0.041111111111111105,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.0,0.9772883961939229,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.0,15.439689740161466,0.5662086609294221,0.9922222222222223,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.05,0.4423103829722938,0.47717417500403486,0.057777777777777775,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.05,0.9776217295272563,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.05,14.4812573040528,0.5662086609294221,0.9922222222222223,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.1,0.4617486060698919,0.47717417500403486,0.08777777777777779,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.1,0.9779550628605898,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.1,13.34585357195484,0.5662086609294221,0.9911111111111113,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.15000000000000002,0.48410505265272075,0.47717417500403486,0.12777777777777777,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.15000000000000002,0.978288396193923,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.15000000000000002,12.070556348065248,0.5662086609294221,0.9911111111111113,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.2,0.5089325952441217,0.47717417500403486,0.19555555555555557,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.2,0.9786217295272565,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.2,10.690645019024627,0.5662086609294221,0.99,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.25,0.5352867877869995,0.47717417500403486,0.29888888888888887,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.25,0.9789550628605896,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.25,9.287292941484951,0.5662086609294221,0.9866666666666667,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.30000000000000004,0.5626435280615777,0.47717417500403486,0.41111111111111104,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.30000000000000004,0.979288396193923,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.30000000000000004,7.916664075309404,0.5662086609294221,0.98,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.35000000000000003,0.590452987258389,0.47717417500403486,0.5477777777777777,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.35000000000000003,0.9796217295272565,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.35000000000000003,6.654463372786404,0.5662086609294221,0.9688888888888888,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.4,0.6184948115587219,0.47717417500403486,0.6677777777777779,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.4,0.9799550628605899,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.4,5.596683686927344,0.5662086609294221,0.9422222222222221,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.45,0.646627698974107,0.47717417500403486,0.7911111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.45,0.9803003216872056,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.45,4.903136993269364,0.5662086609294221,0.9277777777777777,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.5,0.6747804277930597,0.47717417500403486,0.88,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.5,0.9807266935077276,0.6566617028274203,0.971111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.5,4.669955190772627,0.5662086609294221,0.9244444444444446,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.55,0.7029315493709802,0.47717417500403486,0.9322222222222221,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.55,0.9815522825817584,0.6566617028274203,0.9722222222222223,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.55,4.843920195459699,0.5662086609294221,0.9444444444444445,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.6000000000000001,0.731046052033431,0.47717417500403486,0.9733333333333334,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.6000000000000001,0.9828959418553804,0.6566617028274203,0.9766666666666667,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.6000000000000001,5.255959750180354,0.5662086609294221,0.9566666666666667,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.65,0.7590676287828677,0.47717417500403486,0.9944444444444446,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.65,0.9845968212250762,0.6566617028274203,0.98,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.65,5.773812271314316,0.5662086609294221,0.9744444444444446,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.7000000000000001,0.7868346869625173,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.7000000000000001,0.9869403258054259,0.6566617028274203,0.9866666666666667,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.7000000000000001,6.317153763632723,0.5662086609294221,0.9922222222222221,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.75,0.8140473228984995,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.75,0.9902886039699753,0.6566617028274203,0.991111111111111,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.75,6.85521006067727,0.5662086609294221,0.9944444444444446,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.8,0.8401678596080185,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.8,0.9934403908012731,0.6566617028274203,0.9955555555555556,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.8,7.371618487209407,0.5662086609294221,0.9955555555555556,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.8500000000000001,0.8647233136924186,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.8500000000000001,0.9964031857697417,0.6566617028274203,0.9977777777777779,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.8500000000000001,7.856798364468777,0.5662086609294221,0.9988888888888889,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.9,0.8869420041343483,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.9,0.9983487513683759,0.6566617028274203,0.9977777777777779,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.9,8.295685196722511,0.5662086609294221,0.9988888888888889,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,0.9500000000000001,0.9061619129153045,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,0.9500000000000001,0.999309591658229,0.6566617028274203,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,0.9500000000000001,8.675115339485481,0.5662086609294221,0.9988888888888889,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T1_mean,1.0,0.922064298042164,0.47717417500403486,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_max,1.0,0.9998249445337342,0.6566617028274203,1.0,0.0962279999999999,0.9257,0.4749
D5_Stochastic,T_meanvar_z,1.0,8.988949118923566,0.5662086609294221,1.0,0.0962279999999999,0.9257,0.4749
D3_RHMD,T1_mean,0.0,0.4088802735138573,0.20655436582350767,0.8455555555555555,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.0,0.9598698578422947,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.0,14.026360051036633,0.390785732707466,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.05,0.42493856768464283,0.20655436582350767,0.8733333333333333,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.05,0.9602031911756281,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.05,13.122851159842517,0.390785732707466,0.9911111111111113,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.1,0.4443767907822409,0.20655436582350767,0.8988888888888887,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.1,0.9605365245089615,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.1,12.064714597412767,0.390785732707466,0.9911111111111113,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.15000000000000002,0.46673323736506955,0.20655436582350767,0.9366666666666666,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.15000000000000002,0.9608698578422947,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.15000000000000002,10.894814141676056,0.390785732707466,0.9911111111111113,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.2,0.4915607799564708,0.20655436582350767,0.9644444444444445,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.2,0.9612031911756279,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.2,9.718599580442108,0.390785732707466,0.99,-0.36874800000000013,0.8727,0.198
